,time,TSH0,TSH1,TSH2,TSH3,TSOS,V_PSOS,TSHSI,VSHS_OP,VSHS_CL,VSHP_OP,VSHP_CL,V_PC_1,CCH_1,TCO_1,m0plus,m0minus,m2plus,m2minus,m3plus,m3minus
1,0.0,25.6,24.4,25.6,25.8,22.5,0.0,203.1,0.0,0.0,0.0,0.0,0.0,0.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0
2,13.0,25.6,24.4,25.6,25.8,22.5,0.0,194.9,0.0,0.0,0.0,0.0,0.0,0.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0
3,26.0,25.6,24.4,25.6,25.8,22.5,0.0,194.9,0.0,0.0,0.0,0.0,0.0,0.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0
4,39.0,25.6,24.4,25.6,25.8,22.3,0.225,194.9,1.0,0.0,0.0,1.0,0.0,0.0,22.6,0.0,0.225,0.0,0.225,0.0,0.225
5,52.0,25.6,24.4,25.6,25.8,22.3,0.225,194.9,1.0,0.0,0.0,1.0,0.0,0.0,22.6,0.0,0.225,0.0,0.225,0.0,0.225
6,65.0,25.6,24.4,25.6,25.8,22.3,0.225,194.9,1.0,0.0,0.0,1.0,0.0,0.0,22.6,0.0,0.225,0.0,0.225,0.0,0.225
7,78.0,25.6,24.4,25.6,25.8,22.3,0.0,194.6,1.0,0.0,0.0,1.0,0.0,0.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0
8,91.0,25.6,24.4,25.6,25.8,22.3,0.0,194.6,1.0,0.0,0.0,1.0,0.0,0.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0
9,104.0,25.6,24.4,25.6,25.8,22.3,0.0,194.6,1.0,0.0,0.0,1.0,0.0,0.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0
10,117.0,25.6,24.4,25.6,25.8,22.3,0.0,194.6,1.0,0.0,0.0,1.0,0.0,0.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0
11,130.0,25.6,24.4,25.6,25.8,22.3,0.0,194.6,1.0,0.0,0.0,1.0,0.0,0.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0
12,143.0,25.6,24.4,25.6,25.8,22.3,0.0,194.6,1.0,0.0,0.0,1.0,0.0,0.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0
13,156.0,25.6,24.4,25.6,25.8,22.3,0.0,194.6,1.0,0.0,0.0,1.0,0.0,0.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0
