,time,TSH0,TSH1,TSH2,TSH3,TSOS,PSOS,TSHSI,VSHS_OP,VSHS_CL,VSHP_OP,VSHP_CL,PC_1,CCH_1,TCO_1
1,0.0,60.1,52.8,59.4,57.5,41.1,11.0,196.4,1.0,0.0,0.0,1.0,11.0,0.0,26.0
2,13.0,60.1,52.8,59.4,57.5,41.1,11.0,196.4,1.0,0.0,0.0,1.0,11.0,0.0,26.0
3,26.0,60.1,52.8,59.4,57.5,41.1,11.0,196.4,1.0,0.0,0.0,1.0,11.0,0.0,26.0
4,39.0,60.1,52.8,59.4,57.5,41.1,11.0,196.4,1.0,0.0,0.0,1.0,11.0,0.0,26.0
5,52.0,60.1,52.8,59.4,57.5,41.1,11.0,196.4,1.0,0.0,0.0,1.0,11.0,0.0,26.0
6,65.0,60.1,52.8,59.4,57.5,41.1,11.0,196.4,1.0,0.0,0.0,1.0,11.0,0.0,26.0
7,78.0,60.1,52.8,59.4,57.5,41.1,11.0,196.4,1.0,0.0,0.0,1.0,11.0,0.0,26.0
8,91.0,60.1,52.8,59.4,57.5,41.1,11.0,196.4,1.0,0.0,0.0,1.0,11.0,0.0,26.0
9,104.0,60.1,52.8,59.4,57.5,41.1,11.0,196.4,1.0,0.0,0.0,1.0,11.0,0.0,26.0
10,117.0,60.1,52.8,59.4,57.5,41.1,11.0,196.4,1.0,0.0,0.0,1.0,11.0,0.0,26.0
11,130.0,60.1,52.8,59.4,57.5,41.1,11.0,196.4,1.0,0.0,0.0,1.0,11.0,0.0,26.0
12,143.0,60.1,52.8,59.4,57.5,41.1,11.0,196.4,1.0,0.0,0.0,1.0,11.0,0.0,26.0
13,156.0,60.1,52.8,59.4,57.5,41.1,11.0,196.4,1.0,0.0,0.0,1.0,11.0,0.0,26.0
14,169.0,60.1,52.8,59.4,57.5,41.1,11.0,196.4,1.0,0.0,0.0,1.0,11.0,0.0,26.0
15,182.0,60.1,52.8,59.4,57.5,41.1,11.0,196.4,1.0,0.0,0.0,1.0,11.0,0.0,26.0
16,195.0,60.1,52.8,59.4,57.5,41.1,11.0,196.4,1.0,0.0,0.0,1.0,11.0,0.0,26.0
17,208.0,60.1,52.8,59.4,57.5,41.1,11.0,196.4,1.0,0.0,0.0,1.0,11.0,0.0,26.0
18,221.0,60.1,52.8,59.4,57.5,41.1,11.0,196.4,1.0,0.0,0.0,1.0,11.0,0.0,25.7
19,234.0,60.1,52.8,59.4,57.5,41.1,11.0,196.4,1.0,0.0,0.0,1.0,11.0,0.0,26.0
20,247.0,60.1,52.8,59.4,57.5,41.1,11.0,196.4,1.0,0.0,0.0,1.0,11.0,0.0,25.7
